A0,A0,A0,A0,A0,A0,B1,B1,B1,B1,B1,B1,C2,C2,C2,C2,C2,C2,D3,D3,D3,D3,D3,D3
,,,,,3.963684,,,,,,0.9503174,,,,,,3.6976929,,,,,,0.064331055
,,,,,3.963684,,,,,,0.9503174,,,,,,3.6976929,,,,,,0.064331055
,,,,,3.963684,,,,,,0.9503174,,,,,,3.6976929,,,,,,0.064331055
,,,,,3.963684,,,,,,0.9503174,,,,,,3.6976929,,,,,,0.064331055
,,,,,3.963745,,,,,,0.9503174,,,,,,3.6976929,,,,,,0.064331055
,,,,,3.963745,,,,,,0.9503174,,,,,,3.6976929,,,,,,0.064331055
,,,,,3.963684,,,,,,0.9503174,,,,,,3.6976929,,,,,,0.064331055
,,,,,3.963745,,,,,,0.9503174,,,,,,3.6976929,,,,,,0.064331055
,,,,,3.963745,,,,,,0.9503174,,,,,,3.6976929,,,,,,0.064331055
,,,,,3.963745,,,,,,0.9503174,,,,,,3.6976929,,,,,,0.064331055
,,,,,3.963745,,,,,,0.9503174,,,,,,3.6976929,,,,,,0.064331055
,,,,,3.963745,,,,,,0.9503174,,,,,,3.6976929,,,,,,0.064331055
,,,,,3.963745,,,,,,0.9503174,,,,,,3.6976929,,,,,,0.064331055
,,,,,3.963684,,,,,,0.9503174,,,,,,3.6976929,,,,,,0.064331055
,,,,,3.963684,,,,,,0.9503174,,,,,,3.6976318,,,,,,0.064331055
,,,,,3.963684,,,,,,0.9503174,,,,,,3.6976318,,,,,,0.064331055
,,,,,3.963684,,,,,,0.9503174,,,,,,3.6976318,,,,,,0.064331055
,,,,,3.963684,,,,,,0.9503174,,,,,,3.6976318,,,,,,0.064331055
,,,,,3.963684,,,,,,0.9503174,,,,,,3.6976318,,,,,,0.064331055
,,,,,3.963684,,,,,,0.9503174,,,,,,3.6976318,,,,,,0.064331055
,,,,,3.963684,,,,,,0.9503174,,,,,,3.6976318,,,,,,0.064331055
,,,,,3.963684,,,,,,0.9503174,,,,,,3.6976318,,,,,,0.064331055
,,,,,3.963684,,,,,,0.9503174,,,,,,3.6976318,,,,,,0.064331055
,,,,,3.963684,,,,,,0.9503174,,,,,,3.6976318,,,,,,0.064331055
,,,,,3.963684,,,,,,0.9503174,,,,,,3.6976318,,,,,,0.064331055
,,,,,3.963684,,,,,,0.9503174,,,,,,3.6976318,,,,,,0.064331055
,,,,,3.963745,,,,,,0.9503174,,,,,,3.6976318,,,,,,0.064331055
,,,,,3.963745,,,,,,0.9503174,,,,,,3.6976318,,,,,,0.064331055
,,,,,3.963745,,,,,,0.9503174,,,,,,3.6976318,,,,,,0.064331055
,,,,,3.963684,,,,,,0.9503174,,,,,,3.6976318,,,,,,0.064331055
,,,,,3.963745,,,,,,0.9503174,,,,,,3.6976318,,,,,,0.064331055
,,,,,3.963745,,,,,,0.9503174,,,,,,3.6976318,,,,,,0.06427002
,,,,,3.963745,,,,,,0.9503174,,,,,,3.6976318,,,,,,0.06427002
,,,,,3.963745,,,,,,0.9503174,,,,,,3.6976318,,,,,,0.064331055
,,,,,3.963745,,,,,,0.9503174,,,,,,3.6976318,,,,,,0.064331055
,,,,,3.963745,,,,,,0.9503174,,,,,,3.6976318,,,,,,0.06427002
