A1 A2 A3 A4 B1 B2 B3 B4 C1 C2 C3 C4 D1 D2 D3 D4 E1 E2 E3 E4 F1 F2 F3 F4 
3.7138062 0.49621582 0.11853027 0.81103516 3.9852905 3.6239624 0.47125244 3.2022705 0.6192627 0.66711426 0.27313232 0.3110962 3.2609253 0.2741089 0.5383911 0.2979126 3.94458 0.6278076 3.2236328 3.9995728 0.017944336 3.388977 3.2085571 3.9974365 
3.7138062 0.49621582 0.11853027 0.81103516 3.9852905 3.6239624 0.47125244 3.2023315 0.6192627 0.66711426 0.27313232 0.31115723 3.2609253 0.2741089 0.5383911 0.2979126 3.944519 0.6278076 3.2236328 3.9996338 0.017944336 3.388977 3.2085571 3.9974365 
3.7138062 0.4961548 0.11853027 0.81103516 3.9852905 3.6239624 0.47125244 3.2023315 0.6192627 0.6670532 0.27313232 0.31115723 3.2609253 0.2741089 0.5383911 0.2979126 3.944458 0.62786865 3.2236328 3.9997559 0.018005371 3.388977 3.2085571 3.9974365 
3.713745 0.4961548 0.11853027 0.81103516 3.9852905 3.6239014 0.47125244 3.2023315 0.6192627 0.6670532 0.27313232 0.31115723 3.2609863 0.2741089 0.5383911 0.2979126 3.944458 0.62786865 3.2236328 3.999817 0.017944336 3.388977 3.208496 3.9974976 
3.713745 0.49621582 0.11853027 0.81103516 3.9852905 3.6239624 0.47125244 3.2023315 0.6192627 0.6670532 0.27313232 0.31115723 3.2609863 0.2741089 0.5383911 0.2979126 3.944519 0.62786865 3.2236328 3.9996948 0.017944336 3.388977 3.208496 3.9974976 
3.7138062 0.49621582 0.11846924 0.81103516 3.9852905 3.6239624 0.47131348 3.2023315 0.6192627 0.6670532 0.27313232 0.31115723 3.2609253 0.27416992 0.5383911 0.2979126 3.94458 0.62786865 3.2236328 3.9996338 0.017944336 3.388977 3.208496 3.9974976 
3.7138672 0.49621582 0.11853027 0.81103516 3.9852905 3.6239624 0.47131348 3.2023315 0.6192627 0.6670532 0.27313232 0.31115723 3.2609253 0.27416992 0.5383911 0.2979126 3.944519 0.62786865 3.2236328 3.9996948 0.017944336 3.389038 3.208496 3.9974976 
3.7138672 0.4961548 0.11853027 0.81103516 3.9852905 3.6239624 0.47131348 3.2023315 0.6192627 0.6670532 0.27313232 0.31115723 3.2609863 0.27416992 0.5383911 0.2979126 3.944458 0.62786865 3.2236328 3.9997559 0.017944336 3.389038 3.208496 3.9974976 
3.713745 0.4961548 0.11853027 0.81103516 3.9852905 3.6239624 0.47125244 3.2022705 0.6192627 0.6670532 0.27313232 0.31115723 3.2609863 0.2741089 0.53845215 0.29797363 3.944397 0.62786865 3.2236328 3.999817 0.017944336 3.389038 3.208496 3.9974976 
3.713745 0.4961548 0.11853027 0.81103516 3.9852905 3.6239624 0.47125244 3.2022705 0.6192627 0.6670532 0.27313232 0.31115723 3.2609863 0.2741089 0.5383911 0.2979126 3.944458 0.62786865 3.2236328 3.9997559 0.017944336 3.389038 3.208496 3.9974976 
